17:31:14.526 [main] INFO  - Selecting Upcoming Bikes
17:31:16.028 [main] INFO  - clicking on Upcoming Bikes
17:31:19.059 [main] INFO  - Displaying bikes details
17:31:19.201 [main] DEBUG - Parsing relationship: /xl/_rels/workbook.xml.rels
17:31:19.202 [main] DEBUG - Parsing relationship: /_rels/.rels
17:31:19.221 [main] DEBUG - Save content types part
17:31:19.222 [main] DEBUG - Save package relationships
17:31:19.223 [main] DEBUG - Save part 'docProps/app.xml'
17:31:19.223 [main] DEBUG - Save part 'docProps/core.xml'
17:31:19.224 [main] DEBUG - Save part 'xl/sharedStrings.xml'
17:31:19.224 [main] DEBUG - Save part 'xl/styles.xml'
17:31:19.225 [main] DEBUG - Save part 'xl/theme/theme1.xml'
17:31:19.226 [main] DEBUG - Save part 'xl/workbook.xml'
17:31:19.227 [main] DEBUG - Save part 'xl/worksheets/sheet1.xml'
17:31:19.227 [main] DEBUG - Save part 'xl/worksheets/sheet2.xml'
17:31:19.227 [main] DEBUG - Save part 'xl/worksheets/sheet3.xml'
17:31:19.227 [main] DEBUG - Save part 'xl/worksheets/sheet4.xml'
17:31:19.248 [main] DEBUG - Parsing relationship: /xl/_rels/workbook.xml.rels
17:31:19.248 [main] DEBUG - Parsing relationship: /_rels/.rels
17:31:19.271 [main] DEBUG - Save content types part
17:31:19.272 [main] DEBUG - Save package relationships
17:31:19.273 [main] DEBUG - Save part 'docProps/app.xml'
17:31:19.273 [main] DEBUG - Save part 'docProps/core.xml'
17:31:19.274 [main] DEBUG - Save part 'xl/sharedStrings.xml'
17:31:19.274 [main] DEBUG - Save part 'xl/styles.xml'
17:31:19.275 [main] DEBUG - Save part 'xl/theme/theme1.xml'
17:31:19.275 [main] DEBUG - Save part 'xl/workbook.xml'
17:31:19.276 [main] DEBUG - Save part 'xl/worksheets/sheet1.xml'
17:31:19.277 [main] DEBUG - Save part 'xl/worksheets/sheet2.xml'
17:31:19.277 [main] DEBUG - Save part 'xl/worksheets/sheet3.xml'
17:31:19.277 [main] DEBUG - Save part 'xl/worksheets/sheet4.xml'
17:31:19.298 [main] DEBUG - Parsing relationship: /xl/_rels/workbook.xml.rels
17:31:19.299 [main] DEBUG - Parsing relationship: /_rels/.rels
17:31:19.321 [main] DEBUG - Save content types part
17:31:19.322 [main] DEBUG - Save package relationships
17:31:19.323 [main] DEBUG - Save part 'docProps/app.xml'
17:31:19.324 [main] DEBUG - Save part 'docProps/core.xml'
17:31:19.325 [main] DEBUG - Save part 'xl/sharedStrings.xml'
17:31:19.325 [main] DEBUG - Save part 'xl/styles.xml'
17:31:19.325 [main] DEBUG - Save part 'xl/theme/theme1.xml'
17:31:19.325 [main] DEBUG - Save part 'xl/workbook.xml'
17:31:19.326 [main] DEBUG - Save part 'xl/worksheets/sheet1.xml'
17:31:19.327 [main] DEBUG - Save part 'xl/worksheets/sheet2.xml'
17:31:19.327 [main] DEBUG - Save part 'xl/worksheets/sheet3.xml'
17:31:19.327 [main] DEBUG - Save part 'xl/worksheets/sheet4.xml'
17:31:19.483 [main] DEBUG - Parsing relationship: /xl/_rels/workbook.xml.rels
17:31:19.483 [main] DEBUG - Parsing relationship: /_rels/.rels
17:31:19.508 [main] DEBUG - Save content types part
17:31:19.510 [main] DEBUG - Save package relationships
17:31:19.511 [main] DEBUG - Save part 'docProps/app.xml'
17:31:19.511 [main] DEBUG - Save part 'docProps/core.xml'
17:31:19.512 [main] DEBUG - Save part 'xl/sharedStrings.xml'
17:31:19.512 [main] DEBUG - Save part 'xl/styles.xml'
17:31:19.513 [main] DEBUG - Save part 'xl/theme/theme1.xml'
17:31:19.513 [main] DEBUG - Save part 'xl/workbook.xml'
17:31:19.514 [main] DEBUG - Save part 'xl/worksheets/sheet1.xml'
17:31:19.514 [main] DEBUG - Save part 'xl/worksheets/sheet2.xml'
17:31:19.515 [main] DEBUG - Save part 'xl/worksheets/sheet3.xml'
17:31:19.515 [main] DEBUG - Save part 'xl/worksheets/sheet4.xml'
17:31:19.535 [main] DEBUG - Parsing relationship: /xl/_rels/workbook.xml.rels
17:31:19.535 [main] DEBUG - Parsing relationship: /_rels/.rels
17:31:19.561 [main] DEBUG - Save content types part
17:31:19.562 [main] DEBUG - Save package relationships
17:31:19.563 [main] DEBUG - Save part 'docProps/app.xml'
17:31:19.563 [main] DEBUG - Save part 'docProps/core.xml'
17:31:19.564 [main] DEBUG - Save part 'xl/sharedStrings.xml'
17:31:19.565 [main] DEBUG - Save part 'xl/styles.xml'
17:31:19.565 [main] DEBUG - Save part 'xl/theme/theme1.xml'
17:31:19.565 [main] DEBUG - Save part 'xl/workbook.xml'
17:31:19.567 [main] DEBUG - Save part 'xl/worksheets/sheet1.xml'
17:31:19.567 [main] DEBUG - Save part 'xl/worksheets/sheet2.xml'
17:31:19.567 [main] DEBUG - Save part 'xl/worksheets/sheet3.xml'
17:31:19.567 [main] DEBUG - Save part 'xl/worksheets/sheet4.xml'
17:31:19.590 [main] DEBUG - Parsing relationship: /xl/_rels/workbook.xml.rels
17:31:19.591 [main] DEBUG - Parsing relationship: /_rels/.rels
17:31:19.631 [main] DEBUG - Save content types part
17:31:19.633 [main] DEBUG - Save package relationships
17:31:19.634 [main] DEBUG - Save part 'docProps/app.xml'
17:31:19.634 [main] DEBUG - Save part 'docProps/core.xml'
17:31:19.635 [main] DEBUG - Save part 'xl/sharedStrings.xml'
17:31:19.635 [main] DEBUG - Save part 'xl/styles.xml'
17:31:19.635 [main] DEBUG - Save part 'xl/theme/theme1.xml'
17:31:19.636 [main] DEBUG - Save part 'xl/workbook.xml'
17:31:19.637 [main] DEBUG - Save part 'xl/worksheets/sheet1.xml'
17:31:19.638 [main] DEBUG - Save part 'xl/worksheets/sheet2.xml'
17:31:19.638 [main] DEBUG - Save part 'xl/worksheets/sheet3.xml'
17:31:19.638 [main] DEBUG - Save part 'xl/worksheets/sheet4.xml'
17:31:19.904 [main] DEBUG - Parsing relationship: /xl/_rels/workbook.xml.rels
17:31:19.904 [main] DEBUG - Parsing relationship: /_rels/.rels
17:31:19.933 [main] DEBUG - Save content types part
17:31:19.934 [main] DEBUG - Save package relationships
17:31:19.936 [main] DEBUG - Save part 'docProps/app.xml'
17:31:19.936 [main] DEBUG - Save part 'docProps/core.xml'
17:31:19.937 [main] DEBUG - Save part 'xl/sharedStrings.xml'
17:31:19.938 [main] DEBUG - Save part 'xl/styles.xml'
17:31:19.938 [main] DEBUG - Save part 'xl/theme/theme1.xml'
17:31:19.938 [main] DEBUG - Save part 'xl/workbook.xml'
17:31:19.940 [main] DEBUG - Save part 'xl/worksheets/sheet1.xml'
17:31:19.940 [main] DEBUG - Save part 'xl/worksheets/sheet2.xml'
17:31:19.940 [main] DEBUG - Save part 'xl/worksheets/sheet3.xml'
17:31:19.941 [main] DEBUG - Save part 'xl/worksheets/sheet4.xml'
17:31:19.963 [main] DEBUG - Parsing relationship: /xl/_rels/workbook.xml.rels
17:31:19.964 [main] DEBUG - Parsing relationship: /_rels/.rels
17:31:19.987 [main] DEBUG - Save content types part
17:31:19.989 [main] DEBUG - Save package relationships
17:31:19.991 [main] DEBUG - Save part 'docProps/app.xml'
17:31:19.991 [main] DEBUG - Save part 'docProps/core.xml'
17:31:19.993 [main] DEBUG - Save part 'xl/sharedStrings.xml'
17:31:19.994 [main] DEBUG - Save part 'xl/styles.xml'
17:31:19.994 [main] DEBUG - Save part 'xl/theme/theme1.xml'
17:31:19.994 [main] DEBUG - Save part 'xl/workbook.xml'
17:31:19.996 [main] DEBUG - Save part 'xl/worksheets/sheet1.xml'
17:31:19.997 [main] DEBUG - Save part 'xl/worksheets/sheet2.xml'
17:31:19.997 [main] DEBUG - Save part 'xl/worksheets/sheet3.xml'
17:31:19.997 [main] DEBUG - Save part 'xl/worksheets/sheet4.xml'
17:31:20.021 [main] DEBUG - Parsing relationship: /xl/_rels/workbook.xml.rels
17:31:20.022 [main] DEBUG - Parsing relationship: /_rels/.rels
17:31:20.051 [main] DEBUG - Save content types part
17:31:20.053 [main] DEBUG - Save package relationships
17:31:20.054 [main] DEBUG - Save part 'docProps/app.xml'
